,ENGoogleTranslate,finalLabel3Classes,target
3526,which voices are painful its over alcohol is finished your food is eaten,POS,1
3527,all children in road just,NEU,0
3528,here even wants the bull come with the cave of airo to make hall,NEG,2
3529,is sure that the real field is no longer lying just to eat that we have liquid,POS,1
3530,medas cobate kuma picked up the road,NEG,2
3532,free is spring of the time marstern marked the th anniversary of the international day of democracy democracy in zimbabwe is backsliding daily civic space is shrinking the regime in harare is undermination democratic institution international daphramocracy,NEU,0
3533,with the number of humber hound of here is sigs in this cowntry how can ban ban the shortage,POS,1
3535,do you crow for baby,NEG,2
3537,chogren are blessing from god the issue of you are not fainnically capable is not matter to the olive drinks youre going to regret it leaky look for assisstance from fruen and family members,NEG,2
3538,especially when youre in the middle of nohhey and you have one to turn to,NEG,2
3539,money heists are becoming common thing in harare and the criminalls seem to get away wit,POS,1
3540,in compar winky with unlikely,POS,1
3542,giver mnd me im writing these notes,NEG,2
3543,thinks that all of all lies we all of all lies,NEG,2
3544,people be home are likes that very darry dramic and secaxcited to sectic,NEG,2
3545,you can still buy it is but tired,NEU,0
3546,is shadaya needs school,NEU,0
3548,people was the chicken inn inn in coffee in about how to get home,NEG,2
3550,today the acting president general dr cgdn chiwenga received delegation from the republic of korea at his munhumutapa offices,POS,1
3551,citizes of nurazie are not compared to the lord wld hv been red and app hosakelyable warning meast back gable of the make make haark harare,POS,1
3552,till deat do us on part,POS,1
3553,deaf zimbabwe trust is currently hosting the screen online projects sign language training in partnership with childline zimbabwe tree of life and harare institute of technology,POS,1
3554,there are people in earth,POS,1
3555,ga ka ko love you for your turn batter pottega tribled thanka,POS,1
3556,marlborough apartmentcondo for rent usdpm oasisrealtyptt propertybookbook,POS,1
3557,swaya is our fathers background not cooled,NEG,2
3558,dear menthe daughters of satan devil the satepent the livent in the firt have startedave thes of the lord,NEG,2
3559,shadaa and winky all have thats cruciff or ended that is sorted when you say what you said no longer work,POS,1
3561,our all paper to father kkkk,POS,1
3562,father hararerita ft mom tt million views are not reached cast down the inhabitants of the nongenerous men,NEU,0
3563,throw away people who dont know about orphans he died with bp,NEG,2
3564,to pregnancase catch by someone who leaving you raising the baby ozinda child with the amwr too and fled,POS,1
3567,yes dad my bad,NEG,2
3568,this one must get some sense,POS,1
3569,is the rest of this shaa as men of ure go thouugh lots whex for support shapea,POS,1
3570,but that dooct dispute the fact of fract to make the just that wect yant face corcts so are not parents not parents,NEG,2
3571,these people are thugs what do we do on the weekend that there is no club football,NEG,2
3572,am jelous right now this day may naver come for children of the bean because of the system,NEG,2
3573,doubt you know what youre doing but baby maybe made baby never knew,NEG,2
3574,ef sdaya was rich or financiary equiper abpoved about his expectations or capability heunging time shingei shiw see his story as one of identity cris and quest for belonging and relevance,NEU,0
3575,ada by brother shadai that mileage first before we do crush,POS,1
3576,ghorans like you did the entertainment flooded water,NEG,2
3577,giooooos children of daddady already swim,NEG,2
3579,but shadaya already gave people weekly saying,NEU,0
3580,mastregs are near friendly most times just do you and stand to your ground doesnt have maclass simulator twitter hype ofcoz devices true but ensene is triating hypeing hypees or your account for the emojis,NEG,2
3581,every song sounds the same it only has song sing to you because you fight me all the other hammes that is chiva,POS,1
3582,city of on mosque on rudondabout towards harares fare,NEU,0
3583,no cde count me in and its it of us this travelers child,POS,1
3584,this baby,POS,1
3585,wc caffed that got gide notes lives to leave new note,POS,1
3586,date is the last sunny day to see violense view violence and dream shaya and crew any ga to the violence and crew any giman and crew anyone from giolata and korea google for recovery,NEG,2
3587,jawers not kids in the pin so,NEU,0
3588,axo eats sang with job the same,NEU,0
3589,maya im now doubting the fact of youre married to dad tanya,NEG,2
3590,satha rate of zwl to the usd at grocery tuckshops in my vicinity do they foresee that currency rate burst,NEU,0
3591,haz wont samore dont spend the spotiah vsprshia and shadaera and shadaea breaka to run acres and shada kareas divor and shadaera and shadaera and shadaerah level nc amp shadaea,NEG,2
3592,does not see that the radireferences to the carrots tell them to look with flattering cots of,POS,1
3593,or water less than lot,NEG,2
3594,right also want to lsteon to this is gv zomian king ken of dancehall music zimbabwe is indeed wilvert tith great article and winky halped to shalpy halped to shalpy halped to shalped zimbabwenext time you visit zimbabwe you will be spolt of choice,POS,1
3595,gaa isa pa se koose chiko but think its drug exposure,NEG,2
3596,its amazing you dont have party doors,NEG,2
3597,the sorary had to laugh does not steal such people,NEG,2
3598,you leave the people who werehed with milk,NEU,0
3599,dont put it on shone sterek continue to give people the brick marriage is no for eventone drawed backward that leaves the boot boys to obtain peaace of mind looking for virgins,POS,1
3600,youre sick of you yotam you clap baby or sisters can be raped,NEG,2
3601,people who speaks,NEG,2
3602,so at least excuse for you to ask for call call aytime ay secolos second and need to be used to call or ia shut up there,NEG,2
3603,activally soook my age now dobo loka rama in zimbabwe nesses,NEU,0
3604,you have aras used to murdoms but has already helped child who is form to make cala are just looking for anagricultures grave now,NEG,2
3605,kana we criticize everyone and anyone imi ndimika ma cultists munoti chamisa haabvunzwe,NEU,0
3606,dyadinos good chicken shot may be the best to achieve the fact that the title is op,POS,1
3607,the offices elimmarks are good enough to eat and meal mugabe was still given to gabe mont quurses in the rest of muhowra did the far for rs from toyt,NEG,2
3608,im hungry,NEG,2
3611,gwo family attended where or people who love each other do you give them about your own love for their children,POS,1
3612,the poles jp children winky nana mark rank there,NEG,2
3613,is this fav ever come before,POS,1
3614,type of corn that wanted to make it rain with water it can rain all year round,NEG,2
3615,tanga masunga vanhu vakauraya mboneni ncube,NEU,0
3616,why do you give children nonages,NEG,2
3617,in politics do not use vision you use missionif wanove go go forth to know chang gold to know gorob of jacob frenchies in harare city councilssop being chimdish vision what vionsis sintiv trod politicsborrow brain sir you anded vision in the brain,POS,1
3618,people understand without porch,NEU,0
3619,way you make system of corrupt works so that our children destroy you whys vey prefix why our comrades dar prefix maybe let us have heart,NEG,2
3622,shtraniahs baby is not child sharmain wants codarea wont be drunk with champagne,NEG,2
3623,int parent int,POS,1
3624,this persons conscience or plan expaceshakes and saldies,NEG,2
3625,if she doeson see melp ilps nets nothatas notabo and stauga too oda and sitiwi ganings to be arrange of house etc,NEU,0
3626,is hope you are not citizen because capital city people live in pigsty dont say that we have almost seen the sewage water picutures to say debris and flies harare is just ghetto,POS,1
3627,call app energy on click or touch the whatsapp icon free delivery in hararetswizzazazi and bulawayo you only pay cash on deeliverywe deliver delivery tymorrowfull year warranty,POS,1
3628,and gdatya is in his own level women is way beahind they see at map,NEG,2
3629,wanting to be with somene unger is an sister respact minister children of controller ka that is africann marriages nat love,NEG,2
3630,the hatters just love for our shower,NEG,2
3631,thieves of the first is you with your mate,NEG,2
3633,can cook dont want to eat garbage please kkk,NEG,2
3635,post the cattle,POS,1
3636,and poured the water never,NEU,0
3638,fear of god essentials hoody silicic print textial blacksizes swipe to last picéestuals harare zimbabwe,POS,1
3639,daddy rabbit is afraid to come to space,NEG,2
3640,because youre in love you have to make decisions in the nude and get tattooed thats what dad is for we are not in love but you are cocate you are in it you were host you are there thats why you dont try to be perfect,POS,1
3642,corruption baby listen to what your leader says zanu pf speke not zkoo,NEG,2
3643,guy will heals,NEG,2
3644,damn youre right this song,NEU,0
3645,gwa the people have not given you lotion,NEG,2
3646,tenda these people say im lying,POS,1
3647,on the bulk of people in this,NEG,2
3648,you abhorw the hands that just eat the wiping athlets to drive at once you can fail to make dient to drive at once you can fittle the wiping of you uninting the toiilet one same hands and your suncles subscribed by your mission estee is recruiting you to tomatoes water speed all the fingers of aaaaa in what kind of virginity virginity is radiated camping to the kkkkkkk,NEG,2
3650,in the people all the prisons collecting planner to hurry,NEU,0
3651,now the children of eve think havang sex with is big favor,NEU,0
3652,this is ebarrassing to come to phofaapa and the recipient is not people dont be shyly smelted dreams,NEG,2
3653,try to see people angry out this,NEG,2
3655,on it is about what the maya who is the biggest artist in zimbabwe all about jah prawayzah and ive learned,POS,1
3656,no but to people who refuse,NEU,0
3657,gha is more than that dad because brick looks like,NEU,0
3658,is already founded people come up,POS,1
3659,father johanne said this world is black people,POS,1
3660,or maybe coulda rephraded it as harvardeduned dojectoma born and ruustelian capital territory as an independent candidate,NEG,2
3661,so of the control your home has rejected kaas rabba ruling to the oxt door,NEG,2
3662,if dont have baby with you or credit missed call is,NEG,2
3663,pa abraham is silence that you heard yourself say for the last time to say that you as an alliance is that everything stops this is what you will do now,POS,1
3664,if uft dony way way ura net real man its jost only thins,NEG,2
3665,people are said to have their job to overwhelm people of people,NEG,2
3666,team is ever hot stopped that boto,POS,1
3668,im not saying or whatbut toohbrush your you have used to use it baby baby,POS,1
3669,but bosing to the persons person it took him yrs yers collect doesnt play you,NEG,2
3670,went to see all this,NEU,0
3671,and these hoes exposed to write to fathernothing is that he is stuck with sadadaatter,NEG,2
3674,your cattle,NEU,0
3675,tell her this baby,POS,1
3676,it was was called for lele valerio sibanda was holy shoes in harare,POS,1
3677,hehehe love swaria is the expet on these issues,POS,1
3678,is left home,NEU,0
3679,water will go,NEG,2
3680,registertovovowzw with people thinks such an attitude like zanu pf hosing for you,NEG,2
3681,on bad here we are we will be sore,NEG,2
3682,sa two twins mainly to eat,POS,1
3684,is still there brother,NEU,0
3685,celeb and winky has by an attacked sdaya people are known more than the major father happy nana kae ka pea gave them habit of wanting secure,NEU,0
3686,and make someone you kkkkkk bt on fair no parent leaves four year old kty living with someone hidey do your clever inward will hold the truth for all kty this child is your wifes baby,NEG,2
3687,as long as it is not stable fainancily child what is the sdaya,NEG,2
3688,is electricity for an ambulance,POS,1
3689,up to the standard up with filters we will do what we need,POS,1
3690,people of boarding is some simple,POS,1
3691,last part for me shadaya is your father,POS,1
3692,zimbos we were thrown by starch kid you nat porridge marines bread on tea sang on lunch and sample in the evening how is the body body,POS,1
3693,especiary the great part of chitungwiza,POS,1
3694,swoke is jari,NEG,2
3695,song this isz whats whats dog nan,NEU,0
3696,is truck on comrade best of the best when you go and leave its glasses,NEU,0
3698,na as bus money plus the stamps are not designed to your home,POS,1
3699,come down here,POS,1
3700,have ever dated or just mamas boy boy,NEG,2
3701,gimta is saibo and all four children will,POS,1
3702,think of lies for the hymen dont come back but tightening ya maybe,NEG,2
3703,how do far have gong chari in egaging international lowyers to repreesent job wakhala,NEU,0
3704,dubai oil based perfumes for him and her from lititle as little as little as little as little as little available in harare and deliveries and eywideg,POS,1
3707,yes she is your father,NEU,0
3708,the is this path that doesnt even know how zim economy goes,NEG,2
3709,ga haa haa prayzah having song of songy dona famino frayzah pans sinna song of sanzy ds,POS,1
3710,focus baba focus lol ges dzarova mbanje,POS,1
3711,ga roits for their own owners with this pa,POS,1
3713,noboody abody men im not virgin support support support support support support sudya arag flag my bodyry me or ill leave,NEU,0
3714,gae home shaa,POS,1
3715,no whis was in the soots of week women wer the most diffcuust to deal with wit to the house any to reach to beg and big to repage any mail,NEG,2
3716,solar batteries galore all sizes gel and lithium delivery around harare call or app,NEU,0
3718,sites in your dm,NEG,2
3719,uphazages people you hav in the shipper shik boys and ure not shaft boys,NEG,2
3721,for ned to stop that digging boys to be held with bulb while with the shadia too,NEG,2
3722,gs is hard ummm blowing tentors quotes to auction mny,NEU,0
3723,is hanging an actual ruler the unjustly is invalidable waiting for him isto it that simple,POS,1
3725,an opportity is available for young pureenced in upholsterd in upholsterd if you are are based in harare and you have passion for the trade but lack funding kindly dm me,NEU,0
3726,dad you will be muscle only,NEU,0
3727,variable for leves ha ha we are not the bad as it is thinking,POS,1
3728,you are already going to vote and get everything is vice versa emerson chawa nelson juice wipes,NEU,0
3730,inside information is that there is no interesting career sadaya,NEG,2
3731,lick you baby he has the rest of her life to make up for missed class,NEG,2
3732,manday motivation for all gadgets and accessescall email enqulop email enquloberike delandrygcozwebsite delandrygcozwwerygcozwebresgcozwweebresite brandyfree delivery aroindry advance contend,NEG,2
3734,bottom line first round matters daddy,NEG,2
3737,all the kids on road alone,NEU,0
3738,breaking news bought my sons smokes,NEG,2
3739,is good person this dont hurt,POS,1
3740,doesa on my bad,NEU,0
3741,hat do you do do you do wit of hicles collide in front of you kindly assisti irne irne irne irne irne ure towed the reet,NEU,0
3742,children who were held by date by days whatsapp restern in peace legendary paraffin amp momchabi,POS,1
3743,in harare just thoubey let me try bomber pea peopled it so mach instantly fell in love with the taste the great outdoors zimbabwes own lager lager,POS,1
3744,let people grow,NEU,0
3745,hatisikumira baby,POS,1
3746,elevenyearold nyasha rambwi from gweru makes doormats and bandoliers out of empty scud sealing rings it takes her few hours to make bag or doormat and she sells them to each of us chronicle,NEG,2
3747,harare is just masports,POS,1
3748,if he is dowing it for himseol let he tell you here and tell whether ablacker sdaya its just looking for relevance this,NEG,2
3749,something that would kill us for loving people we dont love,NEG,2
3750,ngavauye vazviitire kumba we are tired of these people,NEG,2
3751,the bigger converance shoupot be about gorouts in didequate investments in education amp health now in every andther corner of harares new private school amp hospital clearly becuse govthoties lie elseere of are in tropy,POS,1
3752,is like ball is to their home,NEG,2
3753,hahahahahaaaaa dont love lies,POS,1
3754,none do you have ibupupon,NEG,2
3755,grized painting pain is just the uterus crying for baby the chrldbirth is the bet solust but the people who are buthy,NEG,2
3756,im in harare zimbabwe,POS,1
3757,of wonderful people in the world,NEG,2
3758,akafanana na baba vake,POS,1
3759,has left the babys baby here,NEG,2
3760,just hunger only,NEG,2
3761,surprisingly awesome that there is people before they know that there is realpcamumspicespavice cash everyday safety and realpromspices,NEU,0
3763,our people are already here,POS,1
3764,yeb beautiful at home think lady squandest is even good at shooting windmill,POS,1
3765,is brings teacher to make baby homework home,POS,1
3766,hmmms boy the personal ivars begin affecting afferts story acfing to dream do not see the huldah you have little school for other children,NEG,2
3767,dad didnt touch me but littleways if you are poor without money what do you do so polygamum is not poor masade chick dont eat thats which gave you thomas encomplens and if look on thread roshad roshada expressing you men with money to keep the signs,POS,1
3768,want to get the childs child to travel without protection thieves cell in the starets in the um,NEG,2
3769,says to jump to these people,NEG,2
3770,tywald primary sch of harare vs hillcred of taach mr confirm the cause led tydald to an emphatic victory proud facts daries,POS,1
3771,baby to get home on the grandy when,POS,1
3772,tll me not this lol,NEG,2
3773,is left over to the pangers the people have distributed single outcide so pants cant stand in the way eve has rejected the dults can still marry,POS,1
3774,hangy are one meat,POS,1
3776,amigy showa the knight king the chiin breaker forea forea of dissees ruler of the social medform momdara is fathers,POS,1
3777,then then call am left and make relationship with side chick,NEG,2
3778,at least it was waz that your phone doesnt hear and it was baked in that style,NEG,2
3779,im your father in the village,POS,1
3780,lukemist is chartman wasstrdal in getteting nelson chasa to the helm of the opposition has raid dealt with honourably,POS,1
3781,gaa this person is dream while still present,NEG,2
3782,didnt go to you without eating sesan,NEU,0
3783,gunuuuuuuuui come to your people start,NEU,0
3784,will say things it doesnt die in life mark the hear to eat and eat and avocada,NEG,2
3785,corruption is the cornerstone of this system for,NEG,2
3786,gb of our thieves that are in the white house,POS,1
3787,this baby has great wind following him and not set up in the woods,NEG,2
3788,doesa snawn it like to eat even while eating the thickness bulwa that registration in the body is very important thanks,POS,1
3789,but this kid is that problem,NEG,2
3790,is ip babys baby to keep it,NEG,2
3791,immagine and others dont cheak their dogs or are about to justify your own or venue to make meal with you,POS,1
3792,gtter tod speech about the reconstruction of citiah citizen with the first with jobs met with the nonman sends hearts and everything,NEG,2
3793,hang good hunt youre good pherpterior to the thiefs end that,NEG,2
3794,for zanuudf just,NEG,2
3795,and know you what is about to love people you are destroying,NEG,2
3796,dreamwell is looking for you,NEU,0
3797,yeee is not the money with our country but participants in the hands of this spirit is not the same spirit but is not particular biologist is not the same picoad but setting your people in poverty,NEG,2
3798,this story is the issue of holding sasko that together to work out the issue is to work out the matter that we will not work out the case of rollon redly murder wish roll on let,POS,1
3799,didnt tv home so sweater dream and see your mois on iphone,POS,1
3800,pictures conrstruction of the afrexinkira africa trade centre begins in harare,POS,1
3801,pulls out all the goats in the middle of the goats per million murdered households per household are you scared what are the people of epworth waiting for deeds mark gives people back,POS,1
3802,is not gay in more than people,NEG,2
3803,from febasy people learn to register voting of all vots have cuts but solutes to the other and choose your own,NEU,0
3804,hoklights from the screen online projects sign in partnerp whatever institute of technology,POS,1
3805,its no oring to revenge sence we have created those people,NEG,2
3807,famba baba harare,NEG,2
3809,if knw what ur man is bringing its fine nt kty unosiya vanhu vachibuditsa more than thousand to prepare only for him to bring mari iyoyo apo maunganidza vanhu varikutodawo yebhazi,NEG,2
3811,the father dad,POS,1
3813,baby pains,NEG,2
3814,programs intern at pzt hot zimbabwe jobs recent graduate holding holding holding holding holding bibriels degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degues degrees degrees degreerys degreement of leveld levelmin social sabilitys state,POS,1
3815,it is what is called for being done now why does he put away the nam sows shiart others dressed that is not to follow what he says already drunk this,NEG,2
3816,mumanyrcus people if theres no one,NEU,0
3817,in harare magistrates courts with the epworth six who were politically indicted through the criminal process for being radically critical of the edled zanupf regime two of them were acquitted but the other four were found guilty and fined with rtgs each,NEG,2
3818,is like motorcycle to get here,POS,1
3819,guys complete and brother and brakekers sobbing amen in the name of beer,NEU,0
3820,the strategy and tactics of tire changed can moda to change so far,NEU,0
3821,any said nox to zanu then didnt have hanc problem,NEG,2
3822,push the cattle,NEU,0
3823,people my hobo,NEU,0
3824,and his garments do his garments not be burned if any man shall be burned in the breastplate which are not burned in the boot and hope to rest and give up,NEU,0
3825,people do you officer baby nhy,NEG,2
3826,va rough the people,POS,1
3827,this question is important because congratulations do not cut the water to get caught water ipplem,NEG,2
3828,people we know but we never hear the truth only dont have anger or even insucurity ises truuth be told only lets not defend bad habits only,NEG,2
3829,we said later we may remember that royal family to britain is in the hands of sons home let us remember again that queen elizabeth left the kingdom to his father king george on the need for twice diagon scandl is there,NEU,0
3830,your mom knows you dont satisfy routs,NEG,2
3831,this is to dive her,NEG,2
3832,ga dad looking for mavotes from everteneo come come if the ruddy to hinder people aki yourseol kt wheen koti kt where do you give your,NEG,2
3833,hahah people dont care about life out of twitter,NEG,2
3834,dont have an eaten eatka in months,POS,1
3836,snow mother baby,POS,1
3837,eosh sorry bros randoms are radiated by the people in front of the people in front of the people in front of the people in the past only in the future by means of the people in front of the people,NEG,2
3839,zimlo izvi zvinomedong ku black market father plus mine belongs to someone ndiye anopedzerana ne police plus police haisviki zvekughana pamakorokoza baba,NEU,0
3840,ahhhhh you took an energy you are set up in the shadaya this using it stopping big thing in life,NEG,2
3841,are this midas midas too shy,NEG,2
3842,way you an aunt or stepmom leave children for children,NEG,2
3843,gy had different experience of ned to docuimment the father,NEG,2
3844,chamama have singles whited meplyed monied giinfulyed enterployed enterployed enterployed enterprising encloycurred tallshort skinned come with or buy machine machine with the guts with the way save returns the money,POS,1
3848,seiko wangu asingafungewo like thiswe had an arguement few days ago when said vanhu vatisingazive shouldnt be part of our wedding,NEU,0
3849,the moment you type shadaya unuses in the same line then know urtimicious you will pishi,NEU,0
3852,ef donate to cook as wife sit back with your home marriage altors dutties have marryy stay single if you have been fiiled marriage man ands redact that which is the source of our energy to be houses father,NEG,2
3853,yes that and more,POS,1
3854,hear this the last,NEG,2
3855,is all you sdaya is lack can haever want to hurt dontisocial porio whya do you have good every about attractting girls smeme of us hate shadaya genuinely,NEG,2
3856,has mortgage from the ground while you are catfish,NEG,2
3857,women should start calling us kids too coz we open survivors again,POS,1
3858,mom rit is calling all the prophesies to the state their house,NEG,2
3859,no you dont know that the people of zona and are paying for adversity you pay double for working dont lift finger,NEG,2
3860,some people already see you as toiilet in lifes they just think about you when they are prominen,NEG,2
3861,commercial property for rent in willowvale usdpm skyryanroacties propertybookzw,POS,1
3862,pensioners wall febutting aree couracting medical outrach progracher for the elderly from monday to friday in harare if you are are or you knoows and you naver in with audio adgical of kindly advisea them to join us total serviceness,NEG,2
3863,thought winky igoat that is cattle,POS,1
3864,gaji in the sales of this work hope he will have day take up lecturesip role in communication amp media purnaces and skills to fuelerations father,POS,1
3865,cant blame him khule he is going on facts he dada told by his brothers cud sees anger saying to her mother would you wait to be told by the brothers you get there and the fits and the mom liked know nothing he may now withed to apologize to the mom,POS,1
3866,is the foreign water child of the people,NEG,2
3867,be serious guys sint last week wednesday of didnes have an electricity are still worker around the clock or we have stopped meat and everything in fridge here water weaving disaster,NEG,2
3868,is to make the beautiful milk,POS,1
3869,september venue hiccperferry siluka sillera and audenance kranician sita tendric shanch dhanarange pharmacies kannaboge mowerals hotel and new ambassador hotel,POS,1
3870,shadia like virgins breathedimoz shapeda declared war on non virgins and single moms,NEU,0
3871,land for sale in gletwin park usd guuestandtandtandtandtandrtaactte propertybookbw,NEU,0
3872,yeas so me make it idhla do not,NEG,2
3873,golden finger the future is exciting and mach brighter mother and baby and her babygood morning united states bsedmandmy bsedweek,POS,1
3874,baby the victims slaughter dead ohh shall swear,POS,1
3875,glon people suspiciously suspect you asked when they ate you,NEG,2
3876,harare institute of technology jobs deadline september screense sciences dean school of information screen school of engineering and technologists and technologans and technologans and technologans and technologist and management sciencesontology,POS,1
3877,so home dont go or here on the park on the hoyoooo,POS,1
3878,hant to walls marrying with sank,NEG,2
3880,go and brothers and sisters are also called grandmother or nephew,NEG,2
3881,isnt my people,NEG,2
3882,bike now is the hottest dad day,NEG,2
3883,machuum said people,NEG,2
3885,dr marads that man is something elseabas mudara as the creation of rez,POS,1
3886,theres life after pay lobola and chances are high youll beauts too yoll beauts too if he keeps on the one to find canaan,POS,1
3887,rome from usa where with him in uz poulad section knowing what man is capable of is leadership,POS,1
3888,is going to new beginning daddy,NEG,2
3889,koiwe got would you buy your mocks,NEG,2
3890,eating light is peer pressure,POS,1
3891,people who will say that children mumz all people are our people in our mucated buttings unit,NEG,2
3892,people aggressive to hear where the comments have aaaah,NEG,2
3893,canpoon sit buour house inorder draw the line,NEG,2
3894,nice meal that particularly love the way the sana is molded its eyenercatching,POS,1
3895,people in tiny mmmm,NEG,2
3896,come to this,POS,1
3897,and when will you confront chamisa over the usd yemotathe lack of structures congress and capture of the opposition by cabal of double agents who feed your enemy with inside details since you are so keen on fixing misgovernance,NEG,2
3898,couldnt sugar sugar and she may shake,NEU,0
3899,fun cargo attracts people,NEU,0
3900,get hit daddy,NEG,2
3901,am is beele single mothers which resed is bele children in harare so is my children and have always and bainted are and gaying this im not as clueless as may seem,POS,1
3902,comfort the child in my,NEU,0
3904,gfortily you are lyona willon ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever rill ever ever say ever ever say ever ever say united states be honet kindy people that zanu is yan,NEG,2
3905,we have had range of service of the party of the reulable for you at our branches in bulworazazaza kungizi,POS,1
3906,has not only poured out in the pasb you are all day teller this server for children gogo atle came to take their pension,NEG,2
3907,eshish if bgipped ngitig uphi anyway come here,NEG,2
3908,coated broilers with hair american dollar for murder call whatsapp justchickenit,POS,1
3909,tongue people you will say blokes you,NEG,2
3910,of the whip of kwow tried splied splicer appliances in and up haraugh thouh just chew in zim,POS,1
3911,so are telient me that lobola is paid for someone who is not video what is lobola in the first place where is it for lobola is for the virgins kankas kirgins kankas kid called ganda coffee is cegindage of virgint the kirgint there is conder of the cond of the cond of the cond of the cond of marry so monak they do not try,POS,1
3912,studied people have no money and have money and study all who later made the delegates of shopping,NEG,2
3913,in zimbabwe surpruse album justs that jah prayzah or winky for that order,POS,1
3914,elders the child is like this father,NEU,0
3915,is hear this person,NEG,2
3917,chicken hot spot unfortunately they are havly branch which know is in harare to make the business work,NEU,0
3918,was beabining of haaaaa when bad,POS,1
3920,relationship is rushes and unknown you are lamp to tell you that you are on people noise,NEU,0
3921,problem is not on the fact that can be behind and give million problem is on that you are good,NEU,0
3922,isa these people have not previously born in harare all the space that and have gone back to the past is under the and go with spring where it would be no or inlocker here,NEG,2
3923,is sick in the baby,NEG,2
3924,challenger father of men ko,POS,1
3925,fugshes father,POS,1
3926,verry mich true its like taxi driver when you want to eat the clinsts dont have profit ride rkkkk,POS,1
3927,year of the year lot of rain year our prayers will be answered,POS,1
3928,neu believe that this talent goes to heaven fear god,NEG,2
3929,gshashane with kids are cooking the,NEG,2
3930,for all your sofas cleaning rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs rugs please follow us on for more updates harare and taach,NEU,0
3932,same madon with wocing jah lug who we shounto beena beena beena beena beena beena been issas wital health isesue in your home are job,POS,1
3934,whatts wrong with doour,NEU,0
3935,my dad dont like that,NEG,2
3936,people who claim to have remedy they need reproof but they dont want to be reproved by ti guys subports ed of the firststyle of ones day acknowledge you have seen light now,NEG,2
3937,oninful dad,NEG,2
3938,hare north mp alan makkham jacob picoting and tip papongos supreme condau,NEU,0
3939,but its personally correct think run and let it go,POS,1
3940,brough can love you uncondibilities butrs kids kii is hiiii,POS,1
3941,anger married rana if repabea andver bragged about rich or whats he just said down with hatter,NEU,0
3942,lolx wants to lie to it this men are hungry in the world,NEG,2
3943,is used is all your mind full is to stay and rule didnt you say that he is responsible for everything,NEG,2
3944,zanu pf prova properties my vra and the dunraising is smart not from your favorite tree to sell the shielding,NEG,2
3945,in nose pair of people,NEU,0
3946,do not bear people dont have he,NEG,2
3947,in the worst people are strong,POS,1
3948,is water to put in bicycle or rabouler,NEU,0
3949,people strangers of the skin,NEG,2
3950,commands to complete her lestirs nothing left to arrest her,NEG,2
3951,hat is goat is this goat for the forest father to you,NEG,2
3952,some men shadia is always practing byver fix women and they take now he paid lobola and that man chowed mahalas and its the current husband for someons sins alph mars,NEU,0
3953,is the dog binded hata beching your,NEG,2
3954,spuck and suspended the same whatsapp group,NEG,2
3955,with mityungu and hook back home when were you born it doesnt surprise we are arguing with soldiers soldier while there are still alive,POS,1
3956,funeral proceedings for the late national hero brigadier general charles kissas national heroes acre in harare may his soul rest in peace,NEG,2
3957,yeah beee father,POS,1
3959,are theore angls in harare not whites mean vestinary clinic,POS,1
3960,is danger to zimbabwe and himseol he is so dull diffficult to think that he wet to trachool wheel wneewa dash he did not different from the excitement of the pleasant ed saying that white children are satan his children are in tropy his village is in tropable,NEG,2
3961,ahh junk cannon with less than kg of import left,NEU,0
3962,dad harare,NEU,0
3963,four houses are the kids are children,NEU,0
3964,is in front of the reflector with safety,POS,1
3965,they salute the kools people,NEG,2
3967,not me having an early morning and being out,POS,1
3968,you claimed to be that is the one that is,NEU,0
3969,head therein we have gossip of gossip just like the grandparents youngsters that we have lived in our region but when the rulers do not intervene with orbet,NEG,2
3970,asking someone you have not sold food to eat is not love rather than there,NEG,2
3971,hatchers dad,POS,1
3972,gldas here to call mrs mhloza of grade to help this baby,NEG,2
3973,is the one to teach girls that habit,NEG,2
3974,hard is no mother like,NEG,2
3975,history for young achanostostotist who is no longer god and loves him,POS,1
3976,bank to think how to get rtgs people have used you usd,NEG,2
3977,noahs arrk team building coaaches developing winning teamwork usning koamkes nahaar zimbabwe lealeship management board training,POS,1
3978,scares to get it these people but datvest and omtt lost next compared to individual wings of stocks,NEU,0
3979,is womans child of the,NEG,2
3980,kindly define the scope of an auction audit unless the documents are fraudulent all the above information type of chemical etc are all thereif the rbz and the bank diligently do their jobs they can pick this up and send through an inquirycollusion and fraud is our problem,NEG,2
3981,naculates until you return,NEG,2
3982,news and vioe of wiress illness in the rivers illashi for the pain of the truth as your shelf,NEG,2
3983,immine pains meal of the babys meat and cries out to,POS,1
3984,okay wheka drive to hararepass tull rowta ruta tull hasta roarer roucer roading road tull to rouke tull to roarest rudctu router the waach tull to ruditta route tull to roukening the cyang,POS,1
3985,mxm people that is relationship that is fulfilled by meal,POS,1
3986,is mere transfomer if eating deenim jacket,POS,1
3987,is we do not tire up to the vote of zanu pf any of the waters like that,NEG,2
3988,is am in harare,POS,1
