shona,target
ndozvanga muromo intolerance n that we re a 2 part state etc u can t critise be it in zanu or ccc unounyana seshizha rabva pana mai varo hezvo kuti foma yako zvarehwa chaizvo namuzvina fundo,1
business remaventilator rinogona kuitisa mari zvamamanje cz vanhu vane macovid symptoms kunze uku we canæt breathe,-1
baba imi muri pfuma ndiri kudzidza zvakawanda,0
haisi kujairika zviri pachena kuti vanhu vari pano kuti vanzwe manyukunyuku vanhu vanoronga zvavasiri hook ups pamusoro pehukama neapp shadaya zvakataurwa mutsa vanhu nematweets,0
not yet inogona kusvika ku 2 cents,1
mwari wangu mupenyu vanopiwa ma degree here vapedza vana ava coz haiwa,-1
kkkk haa mashwede baba,1
anopenga uyu kkkkkk,-1
vana vese mumaroad yaingove,0
umwe aida kubhadhara fees yepa uz ndobva tagara naye pasi izvozvi akavhura tuckshop ku chitungwiza,1
vana vevhu,1
who the fvck is shadaya maprojects aanoita ekubatsira vanhu ndeapi i hope he is not one of those socialites vanotsvaga mbiri nezvisina basa,-1
vanonyebera kuzungaira ava vanoda kudya makoko sadza ruzere mupoto,-1
usd 5k yamurikuda for lobola ikuramba kusvika,-1
iiiih ndo rate iriko ku gweru here iyi,1
asi vanhu ava havasi vakuti jairira here kwane mabhero ema towel nema nduwe futi,-1
everytime he speaks of harare he skips that place not,-1
unenge uchiri kugara kumba ikoko here,-1
vanhu avazivi basa rematohwe,-1
vanhu havana hunhu sha,-1
even me a layman i know never wanted president chamisa to form ccc,-1
asi kuna shadaya anoswera aenda kuma lawyer,-1
fadzie kuremekedzwa kwemasanctions kukumbirai musangano wachori cheruchist ichindichinda novane makeys kubva pashoko ende nzwirai vanhu vamoda vote yavo come 2023 please,0
usateedzere vanhu,-1
yes ndiye baba vako,0
saka ukuda mutadzisa vanhu kuona magaro,-1
baba vako vakawona support yauri kuisa pana shadaya vanoperwa he will need tinashe mugabe be your own man tsvaga basa,-1
ndakafa ndiani aita musikadzwa uyu,-1
kubva pamusi wa12 kusvika 16 gunyana nssa pamwe neinsurance and pension commission ipec izwi rinoshandiswa pakubata nguva yakareba kwenguva yakareba mukushumira jehovha,1
shadaya audio on kae chaps yoooh aah yuwiii mumwe anoita stress,0
ndaiti kunyepa kaa ini kusvika ndazoona rimwe vedio remaunited babes soo,-1
vanhu vanoita nharo manje,0
ndiye mukadzi vangu chete uyu mjolo ndakasiira ma2k,-1
vanodarireiko vanhu ava,0
hahaha riye riye tjo havaziye kuti sevanhu ve harare tenge takanonoka,1
vanojairira vanhu ava,-1
manyoni_wacho ndaswera bhoo hangu wena no hapana achinetsa kuti tiwane pandamboenda ndawedzera ndanyimwa change yangu 50cents na conductor mvura ndanwa was a hot day,-1
madzimai vanopisa vanhu,-1
chimbobhadharai vanhu vamakashandisa,1
waona manje ungati dzidziso dzashadaya hadzina kunaka here mazuva achangopfuura akatumira kuti kushaisha vanobvumira kuregedzera kupfumisa tsika tsika tsika baba mukoma uye vakapa mireza mitsvuku kune avo vanoderedza vakoma nenzizi dzavo,0
dambudziko nderekuti unofunga kuti nyika vadzidzi vezvematonnyika vadzidzi vezvematongerwo enyika kuzadzisa sadza nematemba hatina kuzviitira kupindurwa,-1
ahh inini ndasarwa neless than 5kg kupinda 100 ndakusiya chikafu,0
asi vanhu ava havasi vakuti jairira here kwane mabhero ema towel nema nduwe futi,-1
musiyano ndewe pic raakatorwa padhuze imwe nechekure saka ichidhirowa imwe comparison iri kure neuyu kushaya huku nemombe,-1
kkkk ahumborega kurohwa coz vanhu havana matyira kutaura trash nezvemunhu wavasingazive,-1
endai kunew start baba,-1
aaagh mkugeza mvura yekubikisa sadza,-1
cctv tg security systems cctv oye kupa mapakeji 4 channel system standard package 590 8 channel system standard package 690 16 channel system standard package 1400 kana kufonera 0779162175 harare,1
unoita hasha kusvika pakuseka,0
is in harare raining,-1
usaita winky d uye basa zvakare,1
vana variko bro rakaroora makomba riri confused team iyi,-1
ndobasa rake iroro rega amamise vanhu vanomupinza busy and hafembere kut kunenoise ka,-1
apa inenge ichipa vanhu mushonga uri legit,0
the reason we never have successful porn companies in africa vanhu vacho vese vepente variku behind the scenes irikutoda kupindawo munhu wese akarohwa nere,-1
asi chii nhai ini pese apa kuti uyu muface angouya pano akati nanga nanga nemarsna ari mukona yemaunited izvo ndimi,1
funny you should say that nekuti hopewell ari kutaura hutongi hwehudzvanyiriri hwachamisa muccc,-1
pasi neupenyu nashadaya nezve single mothers women in general,-1
3 5 after 2018 elections n chamisa was supposed to rivert back into the mdct party and all other principals of mdca also rivert back to their political establishments mdca haina mari yaita bato asi chamisa biti welshman vanoita sei ratidza mdca kuti ive bato kukanganisa piri,-1
honestly speaking police ye muzim masascum ipapa une mwana ari pauniversity and pay yako haitombokwane kubhadara fees yairipo before but you are busy trying kurova vana warikuita fight for there rights and your rights as well,-1
kkkk uyu ndi elad dina only the best from,0
1 hombe yemukati mekamuri iripo inorojeswa mubelvedere harare iine mabic mawadhiropu akaiswa uye zvinonzwisisika yakatsvinda pedyo nemushakabvu i pabasa ipapo dzvanya pane iyi link iripazasi kuti unofanira kuwana rumwe ruzivo,1
chikafu mkoma chikafu,0
batai vanhu ict manager procurement accountant internal audit and finance head this is an organized syndicate draining gvt,-1
iye azonyanya kuita mwana wechikoro,1
musangano une musoro uyu chemist,1
ana baba e muri sei,1
ndatenda nekuchinjawo pfungwa handizivi kuti ndichabva pano pazita ndichareva kuti hapana kana nyika ine guta kwekwe uye ipapo padzo nesadza rinodyiwa,-1
hee rally yangu ivo vari vana vechikoro havo havavhoti dhi 2023 unorasa,1
huya pano,-1
apa parikuda ka song ka poptain huya kuno,1
saka hausi vanhu vanosvika 70 miriyoni mazuvano vanhu iyo 70 here chibaba iwe neni lets leave our political diffs aside but hona 70 million homie mai vangu hazvineyi nachamisa kana zanu izvi zvine chekuita nemadhara akupanana mari yedu hommie,0
aaaah muharare unopesana nemumwe munhu akanaka after 3 weeks vanhu vaye siyai variko vakomborerwe,1
tine urombo zvikuru baba mapfumo nyaradzwayi pamwechete nemhuri,1
lol mwana atobaya,0
that s zimbabwe ground in highfields harare sir apa ndipo pa ccc rally yayo kwete pakaita chipinge uri kurasika,1
anenge akabatwa uyu,0
stop hurting vanhu weduwee,-1
she hasn t healed from her previous munhu uyu saka pakaipa,-1
kudya bean kumba kwedu ndinovapa mhosva,-1
bhanga rinokwanisa kuona zvese izvi negwaro rekupinda rega ndione kana ndine bhiriji rekupinda randinogona kugovera mabhangi anoita chikumbiro achibudisa anotora kunze kuti aendese kuresa kutumira boe ine zuva mutengo mutengo wavanhuà,1
she is justified ihama yedu isina nyadzi aya ndiwo mamiriro ekurovha uye kusvetuka pane zvaprof shadaya ari kuparara,-1
ndini baba ndimi muri matongerwo enyika akavhiringika muzimbabwe,-1
hanty wakabvisa ma logs moita twunhu twenyu tichikuonai vana ras tawaz,-1
vamwe vanhu vachaita cum pano,0
kwosese kusimbisa nemhiri ripo paripo kukwereta nemitengo mutengo chaiwo uye kuita purofiti nepo vanoisa mari monyanya vanoisa nguva vachipihwa mibairo yavakachengeta ndiwo ndokwanisa hupfumi nhume pachedu,0
thank you mapedza ndimi vanhu vamwari imi kwete matsotsi kuhwanda namwari,1
but basing kut munhu uyu zvakamutorera 2yrs kuunganidza 2 5k haaa musatambe imi,-1
uyu ndomushaira pake,-1
now mukadzi iyeye akufana kusungiswawo ne deformation of character hatidi vana satana mumasendiraini,0
wasting of treasury resources naizvozvo govera vamwe,1
i m a spiritual boy coming from zimbabwe to help people in chinhoyi gweru harare kwese kwauri ndokubatsirayi 1 kana uchida mari enda kubasa 2 kana uchida ex wako back mukukumbire 3 kana uchida kupora enda kushumira munofira mahara zvinhu,1
very sad may the good lord comfort them in this hard time kufirwa ne mwana kunorwadza let alone,-1
munlmboziyawo kuti maarvs arikupiwa vanhu anobva nekupi here anambwa zanu pf inedambudziko rekuti yakazara mazidofo,-1
vanhu soo,0
vanhu vasati vada kunogadzirisa shadhaya ngavatange vadzidzisa tuhanzvadzi twawo hunhu turege kuita tuma slay queen,-1
shadaya mbudzi yako kwandiri he is justba broken man haasati apora kubva mukurwadziswa kwaakaita uye arikungoedza kuumba hama yake yevarume vakatyoka,-1
hakuna zvakadaro i soup vanhu ivava akazosekerera wanguuuu,0
vakuru dai manyararisa nokuti nhamo yamakati unzira muzimbabwe yakaoma zimbabwe iri pairi nhasi nokuda kwekubata bata kwenyu iyezvi muri kukenya asi mongotaura zvisina basa regai vanhu vatevere bato ravanoda pasina kuda kuisa zvipanera mumaspokisi we are tired of zanu pf,-1
ahh anhu ngenyi muidheerera sadza imimi,1
mutsvuku akanaka asina mwana kana vhirwere ndiye virgin,-1
kana urikuroora chaiye pazim its either youære addicted to weed drugs alcohol or vana vaeve dzimwe dzose dzava ngano,-1
ndozvavanoita vanhu vacho,0
kubvuma kumwe manypo kubva kuna chamisa vachamisa vakanyepera mapurisa pamusoro pemotokari yavanoti yakaputika bhomba muchinhoyi mumanyepo manyepo uye manyepo akawanda kupambwa kwemanyepo kutambudzwa kwemanyepo pamwe kwemanyepo manyepo nokutumira,-1
wasiya ice cream ngaasadye ice cream munhu uyu,-1
mumwe usafanana nekuita chimwe chinhu muhupenyu huno zviyeuchidze kuti sei iwe unonzwa zvakanaka uchiuraya haisi mari kana madhiri akashata izvi wvmen shadaya arikungomumutsa munhuwo weava davghters vajezebheri ari kugadzirira cum varume ava jezebheri ôane simbaö,1
honda 3500 kusvika 3500 varume choose wisely ku driver or kusimudza nehondo yakazvigarira kumba kwayo hondo or honda choose wisely,1
saka vanhu vanogeza ka 2 pazuva,0
siya mwana adefende baba vake mhani takudzwa chii ko,0
zvirikuda harare gadzira mukutanga kukoshesa kukoshesa mu forex kugadzirira vagadziri ava vagadziri vanogadzirira vanhu voga mu forex mareti echokwadi kuchaja mu rtgs,1
vanhu havasi kutamba ma friendly,0
funny you should say that nekuti hopewell ari kutaura hutongi hwehudzvanyiriri hwachamisa muccc,1
vashoma ngatikodzere nguva coz hatidi vanhu vanosvika 10 years vachingoti it s still under few kana kuti unoreva kana mari yadonha idzi mari dzinodonha nekusimuka saka ipa nguva,0
even kuvakadzii fudzi vamwe vanobuda vakapfeka regalia yekunoroyesa mbavha dzinombotionesa mashura,-1
gafa kusvika ndafa,1
december avenue pedyo manje ndiri kunzwa hwema nyama,1
pill inovava yekupedza kuvava kwemushonga wawakamboita tiratidze kwakamboshanda kuti kukwereta uye kuteya mariri at least team papayaisa mari muinfrustructure kwete pasocialism imf style,-1
ndozvitangisa huku project yangu ko ndirikuda 10 huku handout,0
dzoka hako kumba,-1
mudzimai wevaimbove nezve mugovera takagadzirirwa vaconstantino chiwenga amai marry mubaiwa vakadimburwa neverudyi nechishanu pakutakura chemuharare https t co uoxy6qkn4w,-1
alex proud of you bra i remember from pakamukoto paye kuna mbuya nehanda then tamic to opposite big apple keep on keeping,1
mati kudii mai,1
chilling ndizvo zvinoita kuti vazoita vana apa anozonzi 5k for lobola haapo pa picture but ndoano zonzi baba nemwana tinashe mugabe ndoangatozonunura tsaga ivavo,-1
is it true zvanzi mutoko ladies anomutsa ana baba kuti vadye pfuma vasazoti vakabirwa,1
saturday around 2am was approached pachaka kwachirumanzu nemumwe musikana achi chema was supposed kupiwa pekurara aburuka bhazi kubva kuharare mune imwe shop vanhu vacho havangadeere ndokumuti chihande unorara kunhamo kwandiri kuenda kwabudzi then wozoenda kwama nhovo kuseni,-1
apera uyu,-1
asi uridofo kani pane shadaya paakamboti misabereke vaskana venyu here shadaya arikuattacker mahure anoda kuzviita kunge vane value ivo vasina munhu ari right haafanhire kubatwa batwa nazvo izvi,0
havanzwire vanhu tsitsi vanhu vacho,1
asi chiri nhai mai anesu siyai mwana ah,-1
murikuzama kufadza ma pay masters enyu president chamisa is in a class of his own he is too lofty for you nemumoyo memoyo munozviziva ringoriwo basa raurikuita,-1
aspire heights aspindale harare ndinoshandura sekuchinja kwemaitiro maitiro kune high density inogara muzimbabwe imba yakasanganiswa yachengetwa kurongeka inochengetwa gated,-1
tachi meditator i love u iyo yazouya after 3 hours vanhu vari vese ndeyekutenda bonde uchenjeri huchandiuraya,1
ôkamface kakasimudza mwana nyama iko ka nedzaadam ö,-1
ngavauye vazvimba kumba taneta nevanhu ava,-1
in 1980 on integration of forces the vp chiwenga became brig gen of 1 brigade matabeleland at 23 yrs 23,1
gogo vako newe hamuna kukwana ndiko kusaka vachinyepa muri vana venzenza mose,-1
haa handione 2023 zvinhu chinja inhu ivava vanosiya vachiterera culture love vanotembeka here,-1
age haina basa muzukuru hana akaroverana plus as pple we got thru different things i have got an older bra ane 38 not married he s not even thinking abt it if u love him go for it,1
vanhu vese avo havana kupusa they will never vote dougie they will vote nero coz he is e one who can competition with ed,0
ndiri kuona zvinyararire nekuramba kubata dingindira riri apa maybe some other time they will understand,-1
ndotuziva tuvanhu tunodaro uyu ndiye mumwe wacho ehe ndiri snitch,-1
zvekuti varikunyengwa nani hazvishande pakuroora munhu asvirw ne 30 types dzeblambi vakwira havana basa but zvaarikukwirirwa zvacho phone pitsa savana kurukiswa mafuta data machips etc kkkkkk kune akatogara kumba kwavo anomirira zvekumba kwavo ndiye arikunzi roora,-1
unoswazika kutanga izwi rekuti izve here unoti engage zvine rukudzo kana uchitaura nevanhu kuti mbavha ukwane muzukuru wambuya,-1
matoona ka triangle here baba,1
even to me vanofizura vanhu ivavo,-1
ndouya kumba chaiko,1
huya pano,-1
wait salani is zanu,0
cheya achivhura edza sadza mutomato sauce kwete ketchup,-1
maita henyu mwari baba mandimutsa nhasi,1
asi hama yangu church ine ma bill akati chinangwa chinoda kukoshesa n if we are be honest vanhu vemuzim are not that rich zvekti church ingawana 2000usd in tithe unless it s those big church s,0
ini ndakatorora asiri virgin but shadaya ataura chokwadi haungachivhiki but ots the truth,1
amana vanhu varikuvhota ana piyuzha nanapezhiyo mukunyatsozviwana kupi i thought takawirirana tese kuti pijoti wani kubva tichikura,0
dai mashoko ako anga ari echokwadi shadaya uye musoro wacho ungadai usingaite nzira infact tl aigona kunge ari masneaker ese emanyepo neshit yamadungwe iyi,-1
vasikana vanovenga shadaya vari loose,-1
the best part of a relationship ndiko kutanga kwamusati maonana uye muchiri single kumba hangu,-1
mu zimbabwe surprise album rinongoda jah prayzah or winky d in that order,1
ndatombodawo kuita noise kumba kwedu mai vangu pavanditi divide nerate ndabva ndanyarara yakangoti siyanei mbichana neyaibhadhara 2016,-1
ndokunzi baba vari kubasa kauku,1
magara henyu mumubvuri wepagardens kana padam view or better still kumba kwake kunzvido uko,-1
shadaya zvese iiih asi hapana chawaziva nezvehupenyu hwose kusvika shadaya avhura twitter account iih tsvaga ruzivo rwaanarwo n more izere kuyoutube uko source yake n books u ll then see kuti kudzidza naye pane kumunamata,0
is it true zvanzi mutoko ladies anomutsa ana baba kuti vadye pfuma vasazoti vakabirwa,1
aramba zvemahure or vanhu vasiri mavirgin vamuri kudanana navo mahure ahoi,-1
musa anoramba achinyora nezvisina basa,1
congrats cde right huya mustreet but dnt stop kuenda kuchikoro do yr masters do mashort courses usangoite hako nurse aide,1
ndofamba sei kusvika ipapo atete,-1
ehe homeboy ndiri kumba,1
but vanhu vaipfeka nhembe kare kkkk and akuna nhembe yayakakura,0
usavadaro vanhu vedu ava kkkk,0
mota firiji 35 iripo muharare odha yako contact 263773076143,-1
babe nyaya yangu iri simple rega ndiuye kwauri rega ndive murume wako rega ndimhanye nhangemutange yako,-1
asi ndiwe unevheta vanhu vanofunga,1
such disrespect 5k yei iye anayo here 5k yacho siyana nemunhu uyu,-1
hameno vane vanhu ini ndichiri kushara,0
naah shadaya is in his own level madzimai is way behind avatombooneke pa map,-1
once she is educated akutongoda mwana marriage haina basa basa nhasi,-1
kkkkk if u blv kuti mombe inokorera pamarket then auto pass vimba nehura kumhunga kune magaka,1
all and apa pane situation yekuty mil varikutonga kaapa dai pasina kutongana zvaigona kubuda but apa vanhu vakuedzana masimba,-1
zesa perm sec hakuna magetsi hakuna mvura futi,-1
ini ndoona senge vanenge vadhakwa suspension se ipsum so ana baba vanenge vasingachagutsikane,-1
hatisikumira baba,1
nzara yakaoma vakomana nehunyope zvose,-1
inini zvangu i ve no issue with course content wed standards wani ndine ndinonzwira tsitsi mai mandi ndamba paradza romeo and mkumbuzi were good for that level i do think vamwe avo needed a bit of accounting experience before lecturing coz,1
ska nyaya yako iri pana winky d,0
dude this is proper kudya ne liver,1
uyu munhu wega wega chamisa uyu hapanawo zvozikanwa uyu chero arikumutsiura ari kumukanda mupolitics dust bin ari kurasa relevancy ndima dzimwe nguva mukana wekutaura kuti unzwisise,-1
ko ini ndopinda papi panyama ye huku ini handisi ccc ingori rebhara ane chimiro anongoda kuita tweet hapana nameless ingori pano nekuda kwayo apo hapasi pangu,1
tobva tatoenda kumba,1
havatide vanhu ava isu tisu tinochemera kudiwa navo nxa,0
every level headed zimbo wont like 2 be associated with most politics live pa tv,-1
wangu wangu wangu wangu wangu pakaipa,0
haa pane team repanandos fife na5th hre ukaenda wakapfeka simplaz vanozopa chikafu waakuda kutobuda and they wont be nice,-1
huya upindure apa our imba yekurarajournalist,1
zvekusabudisa masongs kwake hazvinei nekugona or kusagona kwake zvinorevei kuva muimbi hauvhaire nekusabutsikisa mimanzi jah prayzah ndiye acharamba ari panhamba imwe chete muzimbabwe,1
haiwawo sadza rekurasha,-1
ko mbavha dzedu mati vanotoba chiiko mu white house,1
yeah she is mwana anoda mavn hake iyeyu,1
student anotakura vanhu here,0
aaah challenging a god bvunzai mwonzora he was labeled w sellout zanu project when for wanting to contest nero at gweru congress,-1
chembera mushe iwe chisekuru potera zvakanaka makapera panonaka kudhara mbavha iwe,-1
zvino ndeupi angaiswe red flag a follower of kamuchacha or king shadaya salttswaaa,0
baba ava vari kutiiko,1
vanhu vakungomuka vakatocharger pazvinhu zvavo,-1
wakamama ngavakubate chibharo kusvika wafa kuhope ikoko,-1
isau basa rake reboshwe pamwoyo nesauviri rwerudyi namazaro ondisimbisa shadaya inogara rusingaperi nb dhonza nguva dzose,1
baba vako vaivepi makore aya,1
tora nguva yako yako go outside big towns like harare to smaller towns u will find amazing ladies from similar background as yours vasina pressure in their minds,1
musade maboyfriend kudarika vana venyu,-1
fees yepa uz iri bho o o yakadaro kana musina mari garai kumba musatibhowe takuda vari serious nechikoro panga pazonyanya kuita kunge pa ôhuyai moseö,1
haah musadaro amana kusvika riini i think we should swap these zambian presidents ari kunorthern rhodesia owuya kuno ari kurhodesia oyenda kunorthern,-1
bae ari kuattender module raprof shadaya,0
mwana wa pg akutya uyu,-1
akafa nei mwana uyu,-1
kuda kukupa mumwe ko zvorambidzwa kutanga kuita mwana,-1
haisi kujairika zviri pachena kuti vanhu vari pano kuti vanzwe manyukunyuku vanhu vanoronga zvavasiri hook ups pamusoro pehukama neapp shadaya zvakataurwa mutsa vanhu nematweets,0
ni mufare sa kumba,1
saka chii manje vanenge vamwei,0
hayi bo baba moyo don t be direct,-1
not me ini ndinotoda kuti vanhu vese vadzike pandinodzikawo,-1
mubvunzo uyu wakakosha because makorokoza haachere kutsvaga mvura kutobata mvura iproblem,-1
mutungamiri wefa ndiprince william uye mumwe munhu ari kuchitungwiza arikubvunza kuti sei yakamiswa kupera kwesvondo rino,1
hona malessons awakupinza vanhu muma streets,0
ngavarege vanhu vasununguke havana mhosva avo,1
endesai mvura izvemumsoro kuchitungwiza and ruwa brain damage isati yawedzera,-1
anoshanda anogona kungotenga chikafu torega kubika,-1
makateera here chikumbiro chekudzorera nanelson chamisa muna 2018,1
ndakataura kare kuti kana nyama yavo hayina kuti same same nekurasa marara pese havadayi baaaaa,-1
frame a baba,0
mxm chivanhu chinoti ukama igasva hunozadziswa nekudya,1
you my guy are grow in wisdom stop manipulating vanhu and don t manipulated nkunzi wakaomera,0
svondo rakapera ndiri mukubata mubhokisi remuramareki remubhokisi rakanyorwa kuti mahwindi 4 ed,1
takatotsvaga isu hameno vana enmasawi,0
kana we critique everyone and anyone imi ndimika ma cultists munoti chamisa haabvunzwe,0
arikuwanepi mhepo kubva he is about the be in 1m like the president of the people imi vanhu imi why are you following propaganda ndipe chinhu chimwe nechimwe neinotevera zvakanyanya kuti hamunyare,1
why murikudya mari dzevakomana musina intention yekuroorwa navo why are you doing that,1
ehe kana tichiri 18 gunyana kana zvipi zvaunoita 1 nguo cheharare masvingo road pambudzi 2 dura chedura chedura rechitungwiza 1 5km mushure memukova unoenda kuchitungwiza 3 chikamu chehigh glen road,1
nhai iwe paitazve competition nathickiana uyu,1
usatambe nejembi idyai ma sussi nema prwans acho mega my alltime favourite dish sadza haifiridzi nebeef haisati yambonditadza,1
zviri kupa ndicharamba mukadzi wangu ndokuroora iwe 9 9 9 7,1
tinobonga yaamhoo mwana wamdhara,0
manje uyu anozviti akanaka,-1
chokwadi hachichinji kuti ane mari or ari broke kana pasi rakatenderedza rinoramba kutenderera nokufamba ndichizvitaura kana bill gates azvitaura ndosaka vanhu vachirwisa varwisa munhu washadaya asi musaite attack with counter arguments zvaari kutaura,-1
trying new things vamwe tonzwa nzara takarara,-1
anyway just go to obgyns who is known to be pro vaginal deliveries kana zvirizvo zvaurikuda kune magynae anembiri yekucheka vanhu for no valid reason,-1
dettol ndeye vanhu vane zvisasa,-1
haaa amana vanhu varikuhura amana,-1
mai tt huya kuno,1
zvavanotaura hazvinei se sakarombe ndichauya babie ndobvisa mombe,1
vanhu ava vakabatwa here,-1
apera uyu,-1
apo chandisina kudyisa sadza iavocado negwatakwata chete zvimwe zvese ndakatomborova,0
kanzwa nekuenda kubowls nekubhushisa vanhu muchina umo,-1
mungajekesa nzira inoita international banking especially the effect of bond notes in 2016 ndanga ndiri pakati pe usd28k 10yr loan muna 2016 ndakapedza repayments mumabond notes bhangi rine chikwereti changu chakawana mari kubva kueurope,1
aagh vanhu vakaoma,0
ndomukwadza uyu,-1
anopinza vanhu mu petrotrade manje mukomana wacho,1
muri kuda kusungisa chamisa kuti next year asaite contest ma elections tiri kukuona muri vatumwa tokuzivai makanyangira yaona,-1
coz le mona metsoko nowadays tota dilo dita tshwana jang rre tlotlo le di mints garish thola di baba kedi shit hela,0
saka kuda kuti kana vanhu vane ma big acc vanhu voombera here ipo kunzi une bug acc zvinofanirwa kuswa here,-1
but general guvheya arikudiwa nemagandanga kuti atungamire nyika uyu soon achamhanya this time akananga nebotswana,1
akaenda akanotora drip ndokupa mukadzi wangu zvizhinji zvirikunetsana naedu mindset vese vanoenda sterek vachisiya no1 kuenda kumakwikwi ari serious vanotora so long to attend to patients imagine at harare hospital ndakaenda nemfana akuvara ne tsaona,0
vanhu vese avo havana kupusa they will never vote dougie they will vote nero coz he is e one who can competition with ed,0
mhuka first then vanhu second,0
iye akutadza kudya liver yacho,0
eish chidzidzo chekutarisira asi panogara mukudzokera kune izvi tora pamusha pamunhu pamazuva ano pamazuva ose vanhu havafanane,1
at 29 years mwana sikana arikukonewa bonde haatogone chiro amana munhu unomudzidzisa sek with hurting her f,-1
why is it isu vanhu vari honest we don t get these tenders,-1
ma evil servants hakuna vanhu uko,-1
haiwa chibage hachiite usanyepere vanhu shaa,-1
zanu pf baba yakashatisa,0
vana vadiki dzinenge pwere,-1
chete nekushanda nesimba pakuita kuti zvigadziriswe zvigadziriswe vatongi vevatmori venes sadc au africa pamaketamiri wekeshund vachamisa ngavadaidzewo kuti vabviswe,1
paya freeman deposit ada kuspender single night mujoina city airevei mune lodge here yaimbovapo kana kuti ichavapo,-1
zuva rakanaka unogona kushanyira chitoro chechitungwiza telone uine kopi yechitupa chako wonyorera kuti ubatsirwe rek,1
no akangoziva kuti iye mukadzi ndiri murume kusvika kumutambo wemutambo nemusikana kuti uyu ndiye mukadzi akakodzera kuvapo pamusoro nepamusoro she is a prayer warrior,1
bank rofunga kuti ndomawana kupi ma rtgs vanhu vakushandisa mausd,-1
hura wakanyarara iwe goal oriented chiiko muzimbabwe muno ndimi vanhu varikumisa kunaya mudzimai uyu akanaka ari nani,-1
you cannot live without him iwewe wakasvigwa nevarume 6 nguva imwe chete dzikama mzukuru uri hure iwe haafe akakugutsa 1 uyu nekuti iwe unotoda 6 nguva imwe chete,-1
ooh thank you doc one last question saka murikuti sadza harifanirwi chinhu,0
akatogona uyu hee mari ishoma watombowana anoda kukuroora,1
verii kwete nekuibira kuchaita chipo chespaghetti nezvitima,1
vanhu vanoisa instagram vanobata avo patl vachiti please follow me on instagram,0
zvinotibatsirei kunyengerera vanhu vanoda kuita recolonize zimbabwe principles cde can we allow an opposition party to do the same without labeling them puppets,-1
handsome zvaakareba kudarika vanhu vose,1
umwe aiwana nyama yaasiya abika yashorter everyday govera kubva kwauri,0
vana vapapa vachipinza satani pamahwani during one of their services ngaarohwe anoda kujairira,-1
vaimbove meya wedare reharare vaherbert gomba pamwe nevaimbove masabhuku evafanha vatatu vanoda kuti kunzi yavaimiririra muzinda wekibhiswe izvo zvinoita kuti kukundikana kuunza nyaya yavari kumurume https t co 721irdaoxh co gwkciukz5f,1
siyana naye uyu chikoro chiri kumukuvadza brain,-1
any1 who thinks the 90s zim was better than the current zim anoda kunovhenekwa cz paishanda mari iyo irinzi value chakadaro remember ndopekuti mwana aitengerwa hembe achinzi anokura nayo primary yese une same clothes,1
vanhu vanoda kuti tiite zvavanoda ivo,0
winky d bigman ninja president gaffa tipe mamwe mazita aunomuziva nawo,0
vanhu varikushanda zvekuti eke,1
let me update mine mine ndisati ndaita kunge kukumbanya wifi,1
rest in peace our queen mai sorobhi,0
propaganda zambia iri kuenda mberi mutongi zimbabwe ichiri mustone age,-1
ini kugonyora ma records ndomirira vashoma vane vabereki vanoziva kuti ndine nzara ndovondobatsira kusvika papinda president arofarira education kumusha handiendi ndoziva zvichapera,-1
iriku fanika pachena mukurora kuti pave nekuzvidavirira mu,-1
vanhu vakudhipisa,-1
varume hamudarike pa curve saka baba rumbi vanga vari right,-1
panongodiwa zanupf chete apa anorohwa akazvirega uyu,-1
haya saka chiuya mangwana kumba kwachoka,1
ndozvinoita kana munhu apererwa,1
ko sei amai vatsvangirai vaiva navo mumutsa vakati vaisada kuona chamisa kana elizabeth parufu,-1
haaaaaa uyu ato folder hapasisina,-1
kkkkkkkk wafunga kuvavigira huku,0
handei nyanga baba bvondo matebelend futi kwaiva kwajonathan moyo uko,1
vanhu vari kuwacha here,0
hanzi na winky d takusiya tsika dzedu dzechivanhu tichitevedzera hunhu whema ngerengere whites,-1
pane mumwe akambotizirwa muxana aine nhumbu yeumweo muface blaz ongozirwa ikatoti chirega hako ku dzokera ndanga ndatoudza vanhu kuti ndaane mukadzi kkkk vakazongosiyana at the end,-1
vanhu vacho adzisi shamwari idzi,0
shadaya anogara achibuda kana vanhu vakabuda patwitter vopinda muhupenyu vanhu vaanorwisa vanobudirira vanoita mari asi iye manje,-1
dhagie zorora vanhu havasikukuda zvininipise kuti chamisa ndimukoma wako chete,0
sure unoisa enzol uchisiya freeman and alice macheso uyo asi mkadzi wamacheso,1
ko chamisa apinda papi wadii kuti linda or mwonzora,1
shadaya akazviona anofara here,0
kkkkk parikubirwa vanhu mari apa,-1
pvo bill iri akatiwoooo loooong ndapota taneta nekutaura kumwe chete uku few weeks back receio nezhowezho chamisa bomb scare in sinoia then few days ago aaaa pamwe kunyepa uye kusatombonyara kuzvireurura i hate these guys to the core,-1
ndinoda baba,1
pasi ne sadza,-1
ave wechingani uyu,0
kana audit ikaitwa nhasi and cabal ichaorera mujeri,-1
pane vagari vekuchitungwiza vakaronga vakaronga nechishanu vachitsvaga kuburitswa muhusungwa kwenhengo yedare reparamende yecitizens coalition for change ccc vajob sikhala,1
anenge ashaya ma role models kwawo here shadaya anoita zvei twitter,0
huya kubhora iwe wagarisa,1
chikoro chekuti kana mvura yonaya vana mhanyai kumba,-1
